iter	Passed	Remaining
207	2316	8819
208	2325	8800
209	2333	8779
210	2344	8767
211	2353	8749
212	2362	8729
213	2371	8709
214	2381	8695
215	2391	8681
216	2404	8675
217	2416	8670
218	2428	8659
219	2437	8642
220	2447	8627
221	2456	8607
222	2466	8593
223	2477	8581
224	2486	8563
225	2495	8546
226	2503	8526
227	2512	8508
228	2522	8492
229	2532	8478
230	2542	8462
231	2552	8448
232	2561	8432
233	2569	8412
234	2579	8398
235	2588	8379
236	2597	8361
237	2606	8344
238	2615	8327
239	2624	8311
240	2633	8293
241	2642	8277
242	2650	8258
243	2660	8242
244	2668	8222
245	2680	8215
246	2689	8198
247	2699	8186
248	2710	8175
249	2719	8159
250	2730	8147
251	2740	8133
252	2751	8122
253	2761	8110
254	2770	8095
255	2780	8082
256	2792	8072
257	2804	8067
258	2815	8055
259	2826	8045
260	2835	8028
261	2844	8011
262	2853	7995
263	2862	7980
264	2873	7970
265	2883	7957
266	2893	7944
267	2903	7930
268	2912	7914
269	2924	7907
270	2937	7903
271	2950	7897
272	2960	7885
273	2972	7875
274	2984	7867
275	2995	7857
276	3009	7856
277	3022	7848
278	3035	7844
279	3047	7836
280	3056	7821
281	3069	7816
282	3081	7806
283	3091	7793
284	3101	7781
285	3111	7768
286	3121	7754
287	3131	7742
288	3141	7727
289	3151	7714
290	3161	7701
291	3171	7689
292	3182	7679
293	3191	7664
294	3204	7657
295	3215	7646
296	3224	7633
297	3233	7617
298	3242	7602
299	3251	7586
300	3261	7573
301	3271	7562
302	3283	7552
303	3295	7544
304	3304	7530
305	3316	7522
306	3329	7516
307	3340	7504
308	3349	7490
309	3362	7485
310	3374	7475
311	3385	7465
312	3399	7461
313	3412	7456
314	3424	7447
315	3435	7437
316	3445	7424
317	3457	7414
318	3466	7400
319	3476	7387
320	3485	7372
321	3494	7358
322	3506	7349
323	3518	7340
324	3529	7330
325	3542	7323
326	3553	7314
327	3564	7301
328	3575	7293
329	3588	7285
330	3600	7277
331	3612	7267
332	3623	7258
333	3635	7249
334	3644	7233
335	3655	7224
336	3667	7214
337	3678	7203
338	3689	7194
339	3701	7184
340	3712	7174
341	3724	7164
342	3735	7154
343	3746	7145
344	3758	7135
345	3771	7129
346	3782	7118
347	3792	7105
348	3803	7094
349	3812	7080
350	3821	7065
351	3832	7054
352	3840	7039
353	3851	7028
354	3862	7018
355	3872	7006
356	3883	6995
357	3894	6983
358	3904	6971
359	3916	6962
360	3927	6952
361	3937	6939
362	3947	6926
363	3957	6913
364	3970	6907
365	3985	6903
366	4001	6901
367	4014	6894
368	4025	6883
369	4034	6870
370	4047	6861
371	4058	6850
372	4066	6835
373	4078	6827
374	4089	6815
375	4099	6802
376	4110	6792
377	4120	6780
378	4130	6768
379	4141	6756
380	4150	6743
381	4161	6731
382	4172	6721
383	4182	6709
384	4193	6699
385	4204	6687
386	4213	6674
387	4224	6663
388	4234	6651
389	4246	6642
390	4259	6634
391	4271	6624
392	4281	6613
393	4291	6600
394	4302	6589
395	4313	6579
396	4325	6569
397	4335	6558
398	4349	6550
399	4361	6542
400	4373	6532
401	4385	6523
402	4398	6515
403	4409	6504
404	4420	6493
405	4430	6481
406	4439	6468
407	4449	6456
408	4461	6447
409	4473	6437
410	4483	6425
411	4494	6414
412	4506	6405
413	4519	6396
414	4533	6390
415	4545	6381
416	4557	6371
417	4570	6363
418	4583	6355
419	4597	6348
420	4610	6340
421	4624	6333
422	4636	6324
423	4648	6314
424	4660	6305
425	4674	6299
426	4687	6290
427	4701	6283
428	4714	6274
429	4723	6261
430	4733	6249
431	4744	6238
432	4753	6224
433	4764	6213
434	4776	6203
435	4786	6191
436	4801	6185
437	4816	6180
438	4830	6172
439	4844	6165
440	4860	6161
441	4872	6151
442	4883	6139
443	4896	6131
444	4908	6121
445	4918	6110
446	4929	6097
447	4940	6086
448	4949	6073
449	4962	6064
450	4975	6056
451	4984	6043
452	4993	6029
453	5005	6019
454	5016	6008
455	5027	5998
456	5039	5987
457	5051	5978
458	5062	5966
459	5074	5957
460	5088	5949
461	5099	5938
462	5109	5926
463	5121	5916
464	5134	5907
465	5146	5897
466	5156	5885
467	5168	5875
468	5180	5865
469	5191	5853
470	5202	5843
471	5214	5833
472	5223	5819
473	5236	5810
474	5250	5803
475	5262	5792
476	5271	5779
477	5284	5770
478	5298	5763
479	5310	5753
480	5320	5740
481	5331	5729
482	5344	5720
483	5356	5710
484	5368	5700
485	5381	5691
486	5391	5679
487	5400	5666
488	5412	5655
489	5420	5642
490	5433	5632
491	5444	5622
492	5457	5612
493	5468	5601
494	5480	5591
495	5492	5580
496	5501	5567
497	5511	5555
498	5523	5545
499	5532	5532
500	5544	5522
501	5556	5511
502	5565	5498
503	5577	5489
504	5588	5478
505	5599	5466
506	5609	5454
507	5621	5444
508	5630	5431
509	5642	5420
510	5653	5410
511	5664	5398
512	5676	5388
513	5689	5380
514	5700	5368
515	5712	5358
516	5723	5346
517	5733	5334
518	5741	5321
519	5756	5314
520	5769	5304
521	5779	5292
522	5791	5282
523	5804	5273
524	5816	5262
525	5826	5250
526	5838	5240
527	5850	5230
528	5861	5218
529	5871	5206
530	5883	5196
531	5891	5183
532	5902	5171
533	5912	5159
534	5921	5146
535	5930	5133
536	5938	5120
537	5947	5107
538	5957	5095
539	5966	5082
540	5975	5070
541	5983	5056
542	5993	5044
543	6001	5030
544	6011	5018
545	6019	5005
546	6030	4994
547	6039	4981
548	6049	4969
549	6058	4956
550	6066	4943
551	6076	4931
552	6086	4919
553	6095	4907
554	6103	4893
555	6112	4881
556	6123	4870
557	6131	4857
558	6141	4845
559	6150	4832
560	6159	4819
561	6166	4806
562	6176	4794
563	6186	4782
564	6194	4769
565	6203	4756
566	6211	4743
567	6220	4730
568	6228	4717
569	6236	4704
570	6244	4691
571	6253	4679
572	6261	4666
573	6269	4653
574	6278	4640
575	6286	4627
576	6295	4615
577	6304	4603
578	6312	4589
579	6321	4577
580	6329	4564
581	6337	4551
582	6345	4538
583	6354	4526
584	6361	4513
585	6371	4501
586	6379	4488
587	6389	4477
588	6399	4465
589	6416	4458
590	6425	4446
591	6434	4434
592	6443	4422
593	6452	4410
594	6461	4397
595	6469	4385
596	6477	4372
597	6487	4361
598	6496	4349
599	6505	4336
600	6513	4324
601	6521	4311
602	6530	4299
603	6539	4287
604	6549	4275
605	6557	4263
606	6565	4251
607	6574	4238
608	6583	4226
609	6590	4213
610	6600	4202
611	6611	4191
612	6619	4179
613	6628	4167
614	6637	4155
615	6648	4144
616	6657	4132
617	6666	4120
618	6675	4108
619	6684	4096
620	6694	4085
621	6704	4074
622	6713	4062
623	6721	4050
624	6730	4038
625	6738	4025
626	6747	4013
627	6755	4001
628	6764	3989
629	6773	3978
630	6782	3966
631	6791	3954
632	6800	3942
633	6808	3930
634	6817	3918
635	6827	3907
636	6836	3895
637	6845	3884
638	6855	3872
639	6864	3861
640	6873	3849
641	6881	3837
642	6891	3826
643	6899	3813
644	6909	3802
645	6917	3790
646	6926	3779
647	6937	3768
648	6946	3756
649	6955	3745
650	6964	3733
651	6973	3721
652	6981	3709
653	6990	3698
654	6997	3685
655	7006	3674
656	7014	3662
657	7023	3650
658	7031	3638
659	7040	3627
660	7048	3615
661	7056	3603
662	7064	3591
663	7073	3579
664	7081	3567
665	7090	3555
666	7098	3544
667	7106	3532
668	7114	3520
669	7123	3508
670	7132	3497
671	7141	3485
672	7151	3474
673	7161	3463
674	7170	3452
675	7180	3441
676	7190	3430
677	7200	3419
678	7208	3407
679	7217	3396
680	7226	3384
681	7235	3373
682	7243	3361
683	7251	3350
684	7259	3338
685	7269	3327
686	7277	3315
687	7288	3305
688	7297	3294
689	7305	3282
690	7315	3271
691	7323	3259
692	7333	3248
693	7343	3237
694	7352	3226
695	7361	3215
696	7368	3203
697	7377	3192
698	7385	3180
699	7395	3169
700	7403	3157
701	7412	3146
702	7421	3135
703	7431	3124
704	7440	3113
705	7450	3102
706	7461	3092
707	7470	3081
708	7481	3070
709	7490	3059
710	7499	3048
711	7510	3038
712	7518	3026
713	7528	3015
714	7538	3005
715	7549	2994
716	7560	2984
717	7568	2972
718	7578	2961
719	7590	2951
720	7599	2940
721	7608	2929
722	7616	2918
723	7626	2907
724	7635	2896
725	7644	2884
726	7654	2874
727	7663	2863
728	7674	2852
729	7683	2841
730	7694	2831
731	7703	2820
732	7711	2808
733	7721	2798
734	7730	2787
735	7741	2776
736	7749	2765
737	7757	2754
738	7766	2742
739	7774	2731
740	7784	2720
741	7793	2709
742	7801	2698
743	7810	2687
744	7819	2676
745	7827	2665
746	7837	2654
747	7845	2642
748	7854	2632
749	7864	2621
750	7873	2610
751	7882	2599
752	7890	2588
753	7898	2577
754	7906	2565
755	7915	2554
756	7922	2543
757	7931	2532
758	7938	2520
759	7947	2509
760	7955	2498
761	7964	2487
762	7972	2476
763	7981	2465
764	7989	2454
765	7997	2443
766	8005	2432
767	8014	2420
768	8022	2409
769	8031	2398
770	8039	2387
771	8048	2376
772	8055	2365
773	8065	2355
774	8073	2343
775	8081	2332
776	8088	2321
777	8097	2310
778	8105	2299
779	8114	2288
780	8121	2277
781	8132	2267
782	8141	2256
783	8150	2245
784	8159	2234
785	8167	2223
786	8176	2212
787	8184	2201
788	8193	2191
789	8202	2180
790	8211	2169
791	8219	2158
792	8228	2147
793	8236	2137
794	8246	2126
795	8256	2116
796	8265	2105
797	8275	2094
798	8284	2084
799	8294	2073
800	8302	2062
801	8312	2052
802	8321	2041
803	8329	2030
804	8338	2019
805	8346	2009
806	8355	1998
807	8363	1987
808	8372	1976
809	8380	1965
810	8389	1955
811	8396	1944
812	8405	1933
813	8413	1922
814	8422	1911
815	8431	1901
816	8441	1890
817	8450	1880
818	8459	1869
819	8470	1859
820	8478	1848
821	8487	1838
822	8496	1827
823	8507	1817
824	8518	1806
825	8528	1796
826	8539	1786
827	8547	1775
828	8557	1765
829	8566	1754
830	8575	1744
831	8585	1733
832	8594	1723
833	8603	1712
834	8610	1701
835	8619	1690
836	8626	1680
837	8635	1669
838	8643	1658
839	8653	1648
840	8662	1637
841	8670	1627
842	8679	1616
843	8687	1605
844	8698	1595
845	8707	1585
846	8717	1574
847	8728	1564
848	8737	1553
849	8746	1543
850	8755	1533
851	8765	1522
852	8774	1512
853	8786	1502
854	8795	1491
855	8803	1481
856	8813	1470
857	8822	1460
858	8831	1449
859	8841	1439
860	8849	1428
861	8858	1418
862	8868	1407
863	8878	1397
864	8886	1386
865	8895	1376
866	8903	1365
867	8913	1355
868	8923	1345
869	8933	1334
870	8944	1324
871	8954	1314
872	8964	1304
873	8974	1293
874	8982	1283
875	8992	1272
876	9001	1262
877	9011	1252
878	9020	1241
879	9029	1231
880	9039	1220
881	9048	1210
882	9059	1200
883	9067	1189
884	9077	1179
885	9086	1169
886	9096	1158
887	9106	1148
888	9114	1138
889	9125	1127
890	9133	1117
891	9142	1106
892	9152	1096
893	9160	1086
894	9169	1075
895	9176	1065
896	9186	1054
897	9195	1044
898	9204	1034
899	9212	1023
900	9223	1013
901	9234	1003
902	9244	993
903	9256	982
904	9266	972
905	9276	962
906	9289	952
907	9301	942
908	9312	932
909	9327	922
910	9342	912
911	9353	902
912	9362	892
913	9372	881
914	9382	871
915	9391	861
916	9405	851
917	9420	841
918	9435	831
919	9447	821
920	9456	811
921	9467	800
922	9479	790
923	9488	780
924	9500	770
925	9513	760
926	9524	750
927	9536	739
928	9546	729
929	9555	719
930	9567	709
931	9577	698
932	9587	688
933	9599	678
934	9613	668
935	9629	658
936	9639	648
937	9652	638
938	9665	627
939	9679	617
940	9691	607
941	9701	597
942	9713	587
943	9728	577
944	9741	566
945	9753	556
946	9766	546
947	9779	536
948	9791	526
949	9803	515
950	9814	505
951	9825	495
952	9837	485
953	9848	474
954	9859	464
955	9870	454
956	9878	443
957	9887	433
958	9896	423
959	9906	412
960	9917	402
961	9931	392
962	9943	382
963	9954	371
964	9964	361
965	9974	351
966	9984	340
967	9993	330
968	10002	320
969	10011	309
970	10021	299
971	10029	288
972	10039	278
973	10048	268
974	10059	257
975	10067	247
976	10075	237
977	10084	226
978	10094	216
979	10103	206
980	10112	195
981	10123	185
982	10134	175
983	10143	164
984	10154	154
985	10167	144
986	10177	134
987	10186	123
988	10196	113
989	10206	103
990	10216	92
991	10227	82
992	10237	72
993	10246	61
994	10255	51
995	10264	41
996	10273	30
997	10282	20
998	10290	10
999	10298	0
